"","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate"
"3697","Maryland","US","2020-06-15 03:33:25",39.0639,-76.8021,61701,2939,4541,54221,24,1020.57998438554,415309,10165,4.76329394985495,84000024,"USA",6869.51674584166,16.4746114325538
"3698","Massachusetts","US","2020-06-15 03:33:25",42.2302,-71.5301,105603,7624,NA,97979,25,1532.14296751122,712710,10802,7.2194918704961,84000025,"USA",10340.3654666527,10.2288760735964
"3699","Michigan","US","2020-06-15 03:33:25",43.3266,-84.5361,66054,6016,44964,15074,26,661.40929023015,813498,NA,9.10769976080177,84000026,"USA",8145.68587494544,NA
"3700","Minnesota","US","2020-06-15 03:33:25",45.6945,-93.9002,30471,1329,26090,3052,27,540.301211142855,417710,3610,4.36152407206852,84000027,"USA",7406.68894708024,11.8473302484329
"3701","Mississippi","US","2020-06-15 03:33:25",32.7416,-89.6787,19516,891,13356,5269,28,655.746738486548,214053,2665,4.56548473047756,84000028,"USA",7192.28103162846,13.6554621848739
"3702","Missouri","US","2020-06-15 03:33:25",38.4561,-92.2884,16262,885,NA,15377,29,264.964411802468,275489,NA,5.44213503874062,84000029,"USA",4488.67180193397,NA
"3703","Montana","US","2020-06-15 03:33:25",46.9219,-110.4544,601,19,510,72,30,56.2324449043674,58907,77,3.16139767054908,84000030,"USA",5511.62168382957,12.8119800332779
"3704","Nebraska","US","2020-06-15 03:33:25",41.1254,-98.2681,16730,215,9879,6636,31,864.864082447963,136115,1070,1.28511655708308,84000031,"USA",7036.51970008395,6.39569635385535
"3705","Nevada","US","2020-06-15 03:33:25",38.3135,-117.0554,11201,463,627,10111,32,363.650412511574,210611,NA,4.13355950361575,84000032,"USA",6837.67315681414,NA
"3706","New Hampshire","US","2020-06-15 03:33:25",43.4525,-71.5639,5318,320,3905,1093,33,391.112523175881,96421,513,6.01729973674314,84000033,"USA",7091.2863101056,9.64648364046634
"3707","New Jersey","US","2020-06-15 03:33:25",40.2989,-74.521,166881,12659,28714,125508,34,1878.82718113438,1097616,18737,7.58564486070913,84000034,"USA",12357.4929155985,11.2277610992264
"3708","New Mexico","US","2020-06-15 03:33:25",34.8405,-106.2485,9723,435,4072,5216,35,463.700187282797,258994,1625,4.47392780006171,84000035,"USA",12351.6986840606,16.7129486783914
"3709","New York","US","2020-06-15 03:33:25",42.1657,-74.9481,383324,30825,68761,283738,36,1970.45671998047,2934599,89995,8.041500140873,84000036,"USA",15085.1507340995,23.4775281485114
"3710","North Carolina","US","2020-06-15 03:33:25",35.6301,-79.8064,44264,1132,23653,19479,37,422.040860847415,627130,NA,2.557382974878,84000037,"USA",5979.45249103649,NA
"3711","North Dakota","US","2020-06-15 03:33:25",47.5289,-99.784,3080,74,2658,348,38,404.166590119964,86880,197,2.4025974025974,84000038,"USA",11400.6471914359,6.3961038961039
"3712","Northern Mariana Islands","US","2020-06-15 03:33:25",15.0979,145.6739,30,2,19,9,69,54.4030175540403,8169,NA,6.66666666666667,580,"MNP",14813.9416799652,NA
"3713","Ohio","US","2020-06-15 03:33:25",40.3888,-82.7649,41148,2559,NA,38589,39,352.020258189253,546220,6895,6.21901428988043,84000039,"USA",4672.90039438451,16.7565859823078
